age,sleep_cycle,exercise_habits,climate_zone,historical_cuisine_exposure,preferred_taste
46,Early Bird,Moderate,Temperate,Mixed,Salty
49,Early Bird,Light,Cold,Asian,Sweet
55,Early Bird,Moderate,Tropical,Asian,Sweet
22,Irregular,Moderate,Temperate,Mixed,Sour
,Night Owl,Moderate,Tropical,Mediterranean,Sweet
39,Irregular,Heavy,Dry,Mixed,Salty
64,Early Bird,Light,Dry,Mediterranean,Sour
51,Night Owl,,Temperate,Mixed,Sour
18,Early Bird,Moderate,Cold,Mixed,Sour
43,Night Owl,Light,Cold,Mediterranean,Sweet
60,,Heavy,Tropical,Mediterranean,Sweet
27,Irregular,Moderate,,Mixed,Sour
47,Irregular,Heavy,Cold,Mixed,Salty
,Early Bird,Heavy,Dry,Mixed,Salty
35,Irregular,Light,Temperate,Mediterranean,Sour
34,,Light,Dry,,Sour
43,Irregular,Heavy,Temperate,Mediterranean,Salty
25,Night Owl,Light,Tropical,Asian,Spicy
64,Irregular,Light,Dry,Mediterranean,Sour
57,Early Bird,Heavy,Temperate,Asian,Sour
66,Night Owl,Light,,Mixed,Sweet
29,Night Owl,Light,Temperate,Mixed,Sweet
44,Irregular,Moderate,Cold,Mediterranean,Salty
25,Night Owl,Light,Tropical,Asian,Spicy
42,Early Bird,Moderate,Cold,Mixed,Salty
63,Early Bird,Heavy,Temperate,Mixed,Salty
21,Night Owl,Moderate,Dry,,Sweet
50,,Heavy,Temperate,,Salty
18,Irregular,Light,Dry,Mixed,Sweet
36,Night Owl,Light,Temperate,Mediterranean,Sweet
48,Early Bird,Moderate,Temperate,Mixed,Salty
33,Night Owl,Heavy,Tropical,Asian,Sweet
31,Irregular,Light,Cold,Mixed,Sour
65,Irregular,Moderate,Temperate,Mediterranean,Salty
22,Night Owl,Moderate,Dry,Mixed,Sweet
58,Early Bird,Moderate,Cold,Asian,Sour
43,Night Owl,,,Mixed,Sweet
45,Early Bird,Heavy,Cold,Asian,Sour
,Early Bird,Light,Temperate,,Sweet
67,Night Owl,,Dry,Mixed,Sweet
23,Night Owl,,Dry,Mixed,Sweet
26,Early Bird,Moderate,Cold,Mediterranean,Sour
50,Early Bird,Light,Dry,Asian,Sweet
58,Early Bird,Moderate,Temperate,Asian,Sour
42,Early Bird,Moderate,Dry,Mixed,Salty
,,Heavy,Dry,Asian,Sour
30,Night Owl,Heavy,,Asian,Sweet
26,,Heavy,Temperate,Mixed,Sour
30,Night Owl,,Tropical,Asian,Spicy
48,Early Bird,Moderate,Dry,Asian,Sour
58,Night Owl,Light,Tropical,Mixed,Sweet
28,Night Owl,Moderate,Cold,Mixed,Sweet
21,Early Bird,Heavy,,Asian,Sweet
51,Early Bird,Heavy,Temperate,Mixed,Salty
55,Night Owl,Heavy,Temperate,Asian,Sweet
63,Night Owl,Heavy,Temperate,Asian,Sweet
21,Night Owl,Moderate,Temperate,Asian,Sweet
55,,Heavy,Tropical,,Sweet
36,Early Bird,Light,Temperate,Mixed,Sour
23,Irregular,Moderate,Tropical,Mixed,Sweet
51,Irregular,Heavy,Dry,Mediterranean,Salty
35,Early Bird,Light,,Mixed,Sour
30,Early Bird,,Cold,Mediterranean,Sour
58,Irregular,Moderate,Cold,Asian,Sour
40,Early Bird,Moderate,Tropical,Mixed,Sour
36,Night Owl,Light,Temperate,Asian,Sweet
62,Night Owl,Moderate,Cold,Mediterranean,Sour
28,Irregular,Light,Tropical,Mixed,Sweet
18,,Heavy,Cold,Mixed,Sour
41,Early Bird,Moderate,Temperate,Mixed,Salty
24,Early Bird,Heavy,Tropical,Mixed,Sweet
,Irregular,Heavy,Cold,Asian,Sour
38,Irregular,Moderate,Temperate,Mixed,Salty
32,Night Owl,Heavy,Tropical,Mediterranean,Sweet
18,Night Owl,Light,Tropical,Mixed,Spicy
29,Early Bird,Light,Tropical,Mediterranean,Sweet
24,Night Owl,Light,Dry,Mediterranean,Sweet
32,Early Bird,Moderate,Tropical,Asian,Sweet
38,Early Bird,Heavy,Cold,Mixed,Salty
36,Early Bird,Heavy,,Mediterranean,Sour
,Night Owl,Heavy,Tropical,Mixed,Sweet
42,,Heavy,Tropical,Asian,Sweet
50,Irregular,Light,Tropical,Asian,Sweet
66,Night Owl,Moderate,,Mixed,Sweet
49,Irregular,Light,Dry,Mediterranean,Sour
66,Early Bird,Light,Temperate,Asian,Sweet
52,Irregular,Moderate,Dry,Mediterranean,Salty
61,Night Owl,,Cold,Mediterranean,Sour
,Irregular,Light,Temperate,Mixed,Sour
43,Early Bird,Heavy,Cold,Asian,Sour
28,,Moderate,Tropical,Mixed,Sweet
52,Night Owl,Moderate,Cold,Mixed,Sour
25,Night Owl,Light,Dry,Mixed,Sweet
63,Night Owl,Heavy,Dry,Mediterranean,Sour
,Early Bird,Moderate,Tropical,Mixed,Sour
27,Irregular,Light,Tropical,Asian,Spicy
19,Irregular,Moderate,Temperate,Mediterranean,Sour
63,Night Owl,Heavy,Dry,Mixed,Sour
26,Irregular,Light,Dry,Asian,Sweet
20,Irregular,Light,Temperate,Mixed,Sweet
38,Night Owl,Heavy,Dry,Mixed,Sour
43,Night Owl,Light,Temperate,Mixed,Sweet
25,Early Bird,Heavy,Dry,Mediterranean,Sour
65,Early Bird,Light,Cold,Mixed,Sour
19,Early Bird,Heavy,Cold,Asian,Sweet
23,Early Bird,Moderate,Temperate,Mixed,Sour
45,Irregular,Moderate,Temperate,Mixed,Salty
46,Irregular,Moderate,Tropical,Mediterranean,Sour
43,Early Bird,Light,Dry,Mixed,Sour
42,Early Bird,Heavy,Cold,Asian,Sour
29,Night Owl,Heavy,Tropical,,Spicy
22,Irregular,Moderate,Dry,Mixed,Sour
51,Irregular,Moderate,Cold,Asian,Sour
65,Early Bird,Moderate,Dry,Asian,Sour
54,Irregular,Heavy,Temperate,Mixed,Salty
32,Night Owl,Moderate,Cold,Asian,Sweet
61,Night Owl,Light,Cold,Asian,Sweet
53,Irregular,Moderate,Tropical,Mixed,Sour
32,Early Bird,Moderate,Dry,Mediterranean,Salty
60,Irregular,Heavy,Temperate,Mediterranean,Salty
65,Night Owl,Light,Temperate,Mixed,Sweet
40,Early Bird,Heavy,Dry,Mediterranean,Salty
23,Irregular,Light,Dry,Mediterranean,Sweet
63,Early Bird,Light,Temperate,,Sour
67,Early Bird,Moderate,Dry,Mediterranean,Salty
61,Night Owl,Moderate,Tropical,Mixed,Sweet
60,Early Bird,Heavy,Dry,Mediterranean,Salty
62,Irregular,Heavy,Tropical,Mediterranean,Sour
38,Early Bird,Heavy,Tropical,Mixed,Sour
40,Early Bird,Light,Dry,Mixed,Sour
60,Irregular,Heavy,Cold,Mediterranean,Salty
33,Night Owl,Light,Cold,Asian,Sweet
64,Night Owl,Light,Tropical,Mixed,Sweet
32,Irregular,Light,Dry,Mixed,Sour
42,Irregular,Light,Tropical,Mediterranean,Sweet
53,Night Owl,Light,Dry,Asian,Sweet
28,Early Bird,Moderate,,Mixed,Sour
68,Irregular,,Temperate,Mixed,Sour
32,Early Bird,Light,,Mixed,Sour
21,Irregular,Moderate,Cold,Asian,Sweet
,Night Owl,Moderate,Temperate,Mixed,Sour
30,Early Bird,Moderate,Temperate,Mixed,Sour
39,Early Bird,Heavy,Temperate,Asian,Sour
36,Irregular,Heavy,Tropical,Mixed,Sour
51,Early Bird,Light,Tropical,Asian,Sweet
31,Irregular,Light,Tropical,Asian,Sweet
21,Night Owl,Light,Tropical,Asian,Spicy
65,Early Bird,Light,Tropical,Mediterranean,Sweet
,Irregular,,Cold,Mixed,Salty
,Early Bird,Heavy,,Mixed,Salty
44,Irregular,Moderate,Dry,Mixed,Salty
46,Irregular,Heavy,,Asian,Sour
64,Irregular,Moderate,Temperate,Mediterranean,Salty
45,Night Owl,Light,Cold,Asian,Sweet
52,Early Bird,Heavy,Temperate,Mixed,Salty
25,Night Owl,Light,Cold,Asian,Spicy
33,,Heavy,Tropical,Mediterranean,Sour
59,,,Cold,Mixed,Salty
53,Night Owl,Light,Dry,Asian,Sweet
47,Night Owl,Light,Tropical,Mediterranean,Sweet
35,Early Bird,Light,Tropical,Asian,Sweet
,Irregular,Moderate,Dry,Asian,Sweet
66,Night Owl,Heavy,Cold,Mixed,Sour
30,Irregular,Heavy,Cold,Mediterranean,Sour
21,Irregular,Heavy,Dry,Asian,Sweet
43,Early Bird,Light,Tropical,Mediterranean,Sweet
,Early Bird,Heavy,Dry,Mixed,Salty
47,Early Bird,,Temperate,Mixed,Salty
28,Night Owl,Light,Temperate,Mixed,Sweet
24,Irregular,Light,Cold,Mediterranean,Sweet
48,Night Owl,Heavy,Tropical,Mediterranean,Sweet
61,Night Owl,Moderate,Temperate,Asian,Sweet
27,Early Bird,Light,Dry,Mediterranean,Sweet
56,Irregular,Moderate,Cold,Mixed,Salty
30,,Moderate,Cold,Asian,Sweet
48,Early Bird,Moderate,Tropical,Mediterranean,Sour
,Irregular,Moderate,Temperate,Mixed,Sour
66,Early Bird,,Cold,Mixed,Sour
59,Night Owl,Heavy,Dry,,Sweet
59,Night Owl,Heavy,Temperate,Mixed,Sour
53,Early Bird,Light,Cold,Mediterranean,Sour
37,Night Owl,Light,Cold,Mixed,Sweet
21,Night Owl,Moderate,Temperate,Asian,Sweet
,,Moderate,Temperate,Mixed,Sour
18,Night Owl,Light,,Mixed,Spicy
,Irregular,,Dry,Mediterranean,Salty
62,Night Owl,Moderate,Tropical,Mediterranean,Sweet
59,Early Bird,Light,Tropical,Mediterranean,Sweet
64,Irregular,Light,Dry,,Sour
30,Irregular,Light,Dry,Mixed,Sweet
39,,Moderate,Tropical,Mediterranean,Sweet
38,Irregular,Light,Temperate,Mixed,Sour
39,Early Bird,Heavy,Dry,Mediterranean,Salty
45,Irregular,Light,Tropical,Mediterranean,Sweet
26,Night Owl,Moderate,Temperate,Mediterranean,Sweet
,Night Owl,Heavy,Cold,Mixed,Sour
26,Irregular,Heavy,Temperate,Mediterranean,Sour
32,Early Bird,Light,Tropical,Mixed,Sweet
27,Early Bird,Light,Dry,Mediterranean,Sweet
41,Night Owl,Heavy,Temperate,Mediterranean,Sour
59,Night Owl,Light,Temperate,Asian,Sweet
25,Early Bird,Moderate,Temperate,Mediterranean,Sour
41,Irregular,Heavy,Dry,Mixed,Salty
33,Irregular,Light,Dry,Asian,Sweet
66,,Heavy,Temperate,Mixed,Salty
43,Irregular,Light,Temperate,Mixed,Sour
44,Early Bird,Light,Tropical,Asian,Sweet
54,Night Owl,Moderate,Dry,Mediterranean,Sour
,Night Owl,Light,Temperate,,Spicy
,Irregular,,Dry,Mixed,Sour
41,Early Bird,,Dry,Mediterranean,Sour
36,Early Bird,,Dry,Asian,Sour
53,Irregular,Light,,Mixed,Sweet
56,Irregular,Light,Cold,Mediterranean,Sour
27,Irregular,,Dry,Mixed,Sweet
42,Night Owl,Heavy,Dry,Mediterranean,Sour
35,Irregular,Moderate,,Mediterranean,Salty
36,,Heavy,Dry,Asian,Sweet
53,Early Bird,Moderate,Cold,,Salty
27,,Moderate,Dry,Mixed,Sour
50,Night Owl,Heavy,Tropical,Mediterranean,Sweet
67,Night Owl,Moderate,Temperate,Mixed,Sour
22,Night Owl,Moderate,Cold,Mediterranean,Sweet
64,Night Owl,Heavy,Tropical,Mediterranean,Sweet
66,Irregular,Light,Cold,Asian,Sweet
52,Early Bird,Moderate,Temperate,Mediterranean,Salty
61,Irregular,Heavy,Dry,Mediterranean,Salty
51,Night Owl,Moderate,Temperate,Mixed,Sour
50,Irregular,Heavy,Temperate,Mixed,Salty
38,Irregular,Light,Dry,Mixed,Sour
34,,Moderate,Tropical,,Sour
39,Irregular,Light,Cold,Mixed,Sour
65,Early Bird,Light,Tropical,Mixed,Sweet
54,Night Owl,Heavy,Dry,Mediterranean,Sour
,Irregular,Moderate,Cold,Mixed,Salty
52,Night Owl,Moderate,Dry,Asian,Sweet
45,Early Bird,Moderate,Tropical,,Sweet
24,Night Owl,Moderate,Temperate,Mixed,Sweet
49,Night Owl,Moderate,Cold,Mixed,Sour
28,Early Bird,Heavy,,Mixed,Sour
27,Night Owl,Moderate,Cold,Mediterranean,Sweet
26,Night Owl,Light,Cold,Asian,Spicy
31,Night Owl,Light,Tropical,Asian,Spicy
30,Irregular,Moderate,Temperate,Mixed,Sour
42,Night Owl,Heavy,,Mixed,Sour
19,Early Bird,Heavy,Tropical,Mediterranean,Sweet
52,Irregular,Moderate,Cold,Mediterranean,Salty
24,,Light,Temperate,Asian,Sweet
38,Early Bird,Moderate,Cold,Mediterranean,Salty
35,Night Owl,Moderate,Temperate,Asian,Sweet
20,Irregular,Moderate,Tropical,Mixed,Sweet
59,Irregular,Heavy,Tropical,Mixed,Sour
56,Irregular,Heavy,Temperate,Asian,Sour
58,Night Owl,Light,Temperate,Mixed,Sweet
66,Irregular,,Tropical,Mediterranean,Sweet
28,Early Bird,Moderate,Temperate,Mixed,Sour
56,Night Owl,Light,,Mixed,Sweet
41,Early Bird,Moderate,Dry,Asian,Sour
63,Early Bird,Light,Cold,Mediterranean,Sour
36,Irregular,Moderate,Tropical,Mediterranean,Sour
21,Irregular,Heavy,Tropical,Mixed,Sweet
43,Irregular,Moderate,Dry,Mixed,Salty
55,Early Bird,Heavy,,Mediterranean,Salty
59,Night Owl,Heavy,Temperate,,Sour
49,Irregular,Light,Temperate,Asian,Sweet
,Irregular,,Tropical,Mixed,Sweet
62,Early Bird,Heavy,Dry,,Salty
63,Night Owl,Moderate,Cold,Mediterranean,Sour
53,Early Bird,Moderate,Dry,Asian,Sour
57,,Light,Tropical,,Sweet
54,Early Bird,Moderate,Cold,Mixed,Salty
50,Irregular,Moderate,Temperate,Mixed,Salty
53,Night Owl,Moderate,Dry,Mixed,Sour
,Early Bird,Heavy,Dry,Mixed,Sour
26,Irregular,Heavy,Tropical,Asian,Sweet
25,Irregular,Moderate,Dry,Mixed,Sour
50,Irregular,Light,Cold,Mediterranean,Sour
23,Irregular,Moderate,,Asian,Sweet
58,Early Bird,Light,Tropical,Asian,Sweet
56,Irregular,Heavy,Dry,Mixed,Salty
21,Early Bird,Moderate,Cold,Asian,Sweet
30,Irregular,Moderate,Cold,Mixed,Sour
,Early Bird,Light,Tropical,Asian,Sweet
19,Early Bird,Light,Temperate,Asian,Sweet
22,Irregular,Moderate,Tropical,Mediterranean,Sweet
61,Irregular,Moderate,Temperate,Mediterranean,Salty
44,Irregular,Light,Cold,Mediterranean,Sour
49,Irregular,Heavy,,Asian,Sour
38,Night Owl,Light,Dry,Mediterranean,Sweet
25,Irregular,Moderate,Cold,Mediterranean,Sour
55,Irregular,Heavy,Tropical,Mediterranean,Sour
25,Irregular,Heavy,Dry,Asian,Sweet
67,Early Bird,Heavy,,,Sour
20,Irregular,Heavy,Dry,Mediterranean,Sour
61,Early Bird,Moderate,Temperate,Asian,Sour
20,Early Bird,Heavy,Dry,Asian,Sweet
39,Early Bird,Light,Temperate,Mixed,Sour
23,Early Bird,Light,Dry,Mediterranean,Sweet
19,Night Owl,Light,Dry,Asian,Spicy
40,Irregular,,Dry,Asian,Sour
61,Early Bird,,Dry,Asian,Sour
19,Irregular,Light,Dry,Mixed,Sweet
55,Early Bird,Light,Tropical,Mediterranean,Sweet
34,Night Owl,Light,Temperate,Asian,Sweet
52,Early Bird,,Temperate,Asian,Sour
51,Irregular,Light,Dry,Asian,Sweet
40,,Heavy,Tropical,Asian,Sweet
47,Night Owl,Heavy,Tropical,Mediterranean,Sweet
69,Irregular,,Cold,Mediterranean,Salty
,Irregular,Moderate,Cold,Asian,Sweet
39,Early Bird,Moderate,Tropical,Asian,Sweet
61,Irregular,Heavy,Cold,Asian,Sour
53,,Heavy,Temperate,Mixed,Salty
22,Night Owl,Moderate,Tropical,Mixed,Sweet
30,Irregular,Moderate,Cold,,Sour
46,Early Bird,Heavy,Tropical,Asian,Sweet
48,Irregular,Moderate,Cold,Mixed,Salty
64,Early Bird,Light,Tropical,Mediterranean,Sweet
33,Night Owl,,Dry,Mixed,Sour
,Early Bird,Heavy,Temperate,Asian,Sour
47,Irregular,Moderate,Cold,,Salty
33,Early Bird,,Dry,Asian,Sweet
29,,Moderate,,Mediterranean,Sweet
34,Night Owl,Light,Dry,Mixed,Sweet
33,Early Bird,Light,Temperate,Mixed,Sour
29,Irregular,Heavy,Cold,Mediterranean,Sour
25,Irregular,Light,Cold,Mediterranean,Sweet
37,Irregular,Heavy,Tropical,Asian,Sweet
20,Early Bird,Light,Temperate,Mediterranean,Sweet
33,Early Bird,Heavy,Dry,Asian,Sour
47,Early Bird,Light,Tropical,Mediterranean,Sweet
,Night Owl,Moderate,Cold,Mediterranean,Sour
40,Irregular,,Dry,,Sour
45,Irregular,Moderate,Tropical,Mixed,Sour
68,Night Owl,Light,Dry,,Sweet
57,Night Owl,Light,Dry,Asian,Sweet
22,Early Bird,Heavy,Tropical,Asian,Sweet
37,Early Bird,Light,Dry,Mediterranean,Sour
57,Early Bird,,Dry,Mediterranean,Sour
,Early Bird,Light,Temperate,Asian,Sweet
,Early Bird,Moderate,Temperate,Mediterranean,Sour
47,Early Bird,Heavy,Cold,Mixed,Salty
38,Night Owl,Heavy,Temperate,Mediterranean,Sour
37,Night Owl,Light,Tropical,Mixed,Sweet
23,Night Owl,Light,Dry,Asian,Spicy
39,Irregular,,Cold,Mediterranean,Salty
35,Irregular,Light,Temperate,Asian,Sweet
,Early Bird,Heavy,Dry,Mixed,Sour
56,Night Owl,Heavy,Tropical,Asian,Sweet
49,Irregular,Moderate,Dry,Mixed,Salty
50,Irregular,Moderate,Tropical,Mixed,Sour
33,Night Owl,Heavy,Dry,Asian,Sweet
29,Irregular,Moderate,Cold,Mixed,Sour
55,Irregular,Light,Cold,Asian,Sweet
69,Night Owl,Light,Temperate,Asian,Sweet
51,Irregular,Moderate,Temperate,Asian,Sour
31,Night Owl,Heavy,Dry,Mixed,Sour
,Irregular,,Dry,Mixed,Salty
50,Night Owl,Heavy,Temperate,Mediterranean,Sour
40,Irregular,,Temperate,Asian,Sour
67,Irregular,Moderate,Dry,Asian,Sour
62,Night Owl,Moderate,Dry,Asian,Sweet
19,Irregular,Light,Dry,Asian,Sweet
58,Night Owl,Light,Cold,Asian,Sweet
38,Night Owl,Heavy,Tropical,Asian,Sweet
19,Irregular,Moderate,Tropical,Asian,Sweet
,Early Bird,Light,Temperate,Mediterranean,Sour
26,Irregular,Moderate,Cold,Mediterranean,Sour
,Early Bird,Heavy,Dry,Asian,Sweet
28,Early Bird,Light,Dry,Asian,Sweet
20,Irregular,Heavy,Temperate,Mediterranean,Sour
69,Early Bird,Light,Temperate,Mediterranean,Sour
40,Night Owl,,Cold,Asian,Sweet
43,Night Owl,Heavy,Tropical,Asian,Sweet
21,Early Bird,Light,Tropical,Mediterranean,Sweet
35,Night Owl,Light,Dry,Mediterranean,Sweet
23,Irregular,Moderate,Temperate,Asian,Sweet
52,Night Owl,Heavy,Cold,Mediterranean,Sour
39,Early Bird,Heavy,Dry,Asian,Sour
60,Irregular,Heavy,Tropical,Mixed,Sour
32,Night Owl,Moderate,Tropical,Asian,Sweet
39,Irregular,,Cold,Asian,Sweet
54,Early Bird,Light,Dry,Asian,Sweet
69,Night Owl,Heavy,,Mediterranean,Sour
59,Irregular,Light,Dry,Asian,Sweet
29,Irregular,Heavy,Tropical,Asian,Sweet
64,Night Owl,Moderate,Temperate,Mediterranean,Sour
66,Irregular,,Temperate,Mixed,Salty
59,Irregular,Moderate,Tropical,Mixed,Sour
55,Early Bird,Heavy,Temperate,Mediterranean,Salty
35,Early Bird,Light,Temperate,Asian,Sweet
62,Early Bird,Moderate,Dry,Mixed,Salty
52,Early Bird,Heavy,Cold,Mixed,Salty
47,Early Bird,Heavy,Dry,Mediterranean,Salty
41,Early Bird,Moderate,Cold,Mixed,Salty
59,Night Owl,Moderate,Cold,Mixed,Sour
47,Early Bird,Moderate,Temperate,,Salty
31,Irregular,,Cold,Mixed,Sour
23,Night Owl,Light,Cold,Asian,Spicy
20,Irregular,Heavy,Tropical,Mediterranean,Sweet
33,Early Bird,Moderate,Cold,Asian,Sour
24,Early Bird,Moderate,Tropical,,Sweet
69,Irregular,Light,Dry,Mediterranean,Sour
31,Irregular,Moderate,Temperate,Mixed,Salty
26,Irregular,Heavy,Cold,Mediterranean,Sour
32,Night Owl,Moderate,Tropical,Mixed,Sweet
38,Early Bird,Light,Dry,Asian,Sweet
52,Irregular,Heavy,Dry,Mixed,Salty
19,,Heavy,Dry,Asian,Sweet
44,Irregular,Moderate,Tropical,Asian,Sweet
19,Early Bird,Heavy,Tropical,Asian,Sweet
52,Night Owl,Moderate,Temperate,Mediterranean,Sour
35,Early Bird,Moderate,Cold,Mixed,Salty
31,Irregular,Light,Dry,Mixed,Sour
37,Early Bird,Heavy,Temperate,Mixed,Salty
35,Night Owl,Moderate,Tropical,Asian,Sweet
,Night Owl,Moderate,Temperate,Mediterranean,Sweet
42,Early Bird,Moderate,Dry,Mixed,Salty
19,Irregular,Heavy,Dry,,Sour
42,Night Owl,Heavy,Temperate,Mediterranean,Sour
50,Night Owl,Heavy,Dry,Mixed,Sour
53,,Moderate,Tropical,Mediterranean,Sour
48,,Heavy,Dry,Mediterranean,Sour
31,Night Owl,Moderate,Cold,Mixed,Sour
18,Irregular,Heavy,Cold,Mediterranean,Sour
63,Irregular,Heavy,Dry,Mediterranean,Salty
33,Irregular,,Temperate,Mixed,Salty
,Early Bird,Heavy,Dry,Asian,Sour
69,Night Owl,Moderate,Cold,Mixed,Sour
20,Early Bird,Heavy,Tropical,Mixed,Sweet
52,Night Owl,Heavy,Cold,Asian,Sweet
58,Night Owl,Heavy,Dry,Mediterranean,Sour
23,Night Owl,Heavy,Dry,Mixed,Sweet
42,Irregular,,Temperate,Asian,Sweet
,Early Bird,,Dry,Asian,Sweet
51,,Light,Dry,Mixed,Sour
25,Night Owl,Heavy,,Mixed,Sweet
38,Early Bird,Heavy,Tropical,Asian,Sweet
51,Irregular,Moderate,Tropical,Mixed,Sour
21,Early Bird,Moderate,Temperate,Asian,Sweet
,Night Owl,Moderate,Temperate,Mixed,Sour
,Irregular,Moderate,Cold,Asian,Sour
21,Irregular,Heavy,Temperate,Mixed,Sour
62,Night Owl,Moderate,Tropical,Mixed,Sweet
29,Early Bird,Light,Temperate,Mixed,Sweet
,Night Owl,Moderate,Dry,Mediterranean,Sour
49,Early Bird,Moderate,Temperate,Mixed,Salty
45,Early Bird,Light,Dry,Asian,Sweet
30,Irregular,Light,Cold,Asian,Sweet
48,Night Owl,Light,Dry,Mediterranean,Sweet
,Irregular,Light,Tropical,Mediterranean,Sweet
37,Night Owl,Moderate,Cold,Mediterranean,Sour
35,,Light,Cold,Mixed,Sweet
,Irregular,Heavy,Cold,Mixed,Salty
23,Night Owl,Moderate,Tropical,Asian,Spicy
49,Night Owl,Heavy,Dry,Asian,Sweet
46,,Moderate,Cold,Mixed,Salty
60,Night Owl,Moderate,Tropical,Asian,Sweet
19,Night Owl,Heavy,Cold,Mixed,Sweet
40,Irregular,Light,Cold,Mediterranean,Sour
36,Irregular,,Tropical,Mixed,Sweet
48,Night Owl,Heavy,Temperate,Mixed,Sour
,,Light,Cold,Mixed,Sour
22,Early Bird,Moderate,Temperate,Asian,Sweet
36,Irregular,Moderate,Cold,Mixed,Salty
51,Night Owl,,Temperate,,Sour
27,Night Owl,Light,Dry,Mixed,Sweet
42,Early Bird,Light,Temperate,Mediterranean,Sour
19,Early Bird,Heavy,Temperate,Mixed,Sour
28,Early Bird,,Temperate,Mixed,Sour
67,Irregular,Heavy,Temperate,Mixed,Salty
48,Night Owl,Light,Dry,Asian,Sweet
32,Irregular,Heavy,Tropical,Mediterranean,Sour
26,Night Owl,Light,Temperate,Mediterranean,Sweet
40,Irregular,Moderate,Tropical,Mixed,Sour
36,Night Owl,Moderate,Cold,Mixed,Sour
26,Early Bird,Light,Tropical,Asian,Spicy
52,Early Bird,Light,Temperate,,Sour
38,Early Bird,Light,Tropical,Asian,Sweet
26,Irregular,Moderate,Dry,Mixed,Sour
45,,Light,Dry,Asian,Sweet
63,Night Owl,Moderate,Temperate,Mediterranean,Sour
68,Irregular,Heavy,Tropical,Mixed,Sour
24,Night Owl,Moderate,Cold,Asian,Sweet
33,Irregular,Heavy,Dry,Asian,Sour
33,Night Owl,Moderate,Temperate,Mixed,Sour
50,Night Owl,,Dry,Asian,Sweet
21,,Light,Temperate,Mixed,Sweet
21,Irregular,Moderate,,Mixed,Sweet
56,Early Bird,Light,Tropical,Asian,Sweet
57,Early Bird,Light,Tropical,,Sweet
34,Night Owl,Light,Tropical,Asian,Spicy
54,Night Owl,Moderate,Tropical,Mediterranean,Sweet
56,Night Owl,Light,Temperate,Mixed,Sweet
69,Irregular,Heavy,Dry,Mixed,Salty
46,Irregular,Heavy,Cold,Mediterranean,Salty
69,Early Bird,Moderate,Dry,Mediterranean,Salty
53,Night Owl,Light,Tropical,Asian,Spicy
55,Early Bird,Heavy,Dry,Mixed,Salty
56,Irregular,Moderate,Dry,Mediterranean,Salty
67,Irregular,Moderate,Temperate,Mediterranean,Salty
54,Irregular,Moderate,Cold,,Salty
69,Early Bird,Moderate,Cold,Mixed,Salty
52,Irregular,,Tropical,Mixed,Sour
24,Night Owl,Light,Temperate,Asian,Spicy
44,Early Bird,Light,Temperate,Mediterranean,Sour
45,Irregular,Light,Temperate,Asian,Sweet
39,Early Bird,Light,Temperate,Mixed,Sour
31,Early Bird,Moderate,Temperate,Mixed,Salty
24,Irregular,Moderate,,Mediterranean,Sour
54,Irregular,Heavy,Cold,Asian,Sour
39,Early Bird,Heavy,Dry,Asian,Sour
22,Early Bird,Light,Cold,Asian,Sweet
19,Irregular,Moderate,Temperate,Mixed,Sour
44,Night Owl,Heavy,Dry,Mediterranean,Sour
38,Early Bird,Heavy,Cold,Asian,Sour
55,Early Bird,Heavy,Dry,Mixed,Salty
32,Night Owl,Heavy,Cold,Mixed,Sour
38,Irregular,Light,Tropical,Asian,Sweet
27,Irregular,Moderate,Cold,Mediterranean,Sour
40,Night Owl,Light,Dry,Mediterranean,Sweet
56,Irregular,,Tropical,Asian,Sweet
22,Irregular,Heavy,Temperate,Mixed,Sour
18,Early Bird,Moderate,Dry,Mixed,Sour
30,Early Bird,Moderate,Temperate,Asian,Sweet
38,Early Bird,Light,Temperate,Mixed,Sour
43,Night Owl,Moderate,Dry,Mixed,Sour
67,Irregular,Light,Temperate,Asian,Sweet
62,Irregular,Light,Dry,Mixed,Sour
38,Early Bird,Heavy,Dry,Asian,Sour
35,Early Bird,Light,Cold,,Sweet
54,,Heavy,Tropical,Asian,Sweet
,Irregular,Light,Temperate,Mixed,Sour
49,Night Owl,Light,Temperate,Asian,Sweet
53,Irregular,Moderate,Tropical,Mixed,Sour
34,Night Owl,Moderate,Tropical,Asian,Sweet
52,Early Bird,Heavy,Tropical,Mediterranean,Sour
66,Night Owl,Moderate,Tropical,Mixed,Sweet
28,Night Owl,Light,Tropical,Mixed,Spicy
38,Early Bird,Heavy,Cold,Mixed,Salty
,Irregular,Heavy,Dry,Mediterranean,Salty
43,Irregular,Heavy,Tropical,Asian,Sweet
21,Early Bird,Light,Cold,,Sweet
51,Night Owl,Moderate,,Asian,Sweet
69,Night Owl,Heavy,Tropical,Asian,Sweet
65,Night Owl,Light,Temperate,Asian,Sweet
35,Irregular,Moderate,Temperate,Asian,Sour
,Night Owl,Moderate,Temperate,Asian,Sweet
52,,Heavy,Temperate,Mediterranean,Salty
58,Night Owl,Light,Dry,Mixed,Sweet
46,Early Bird,,,Mediterranean,Salty
69,Early Bird,,Temperate,Mixed,Sour
46,Irregular,Moderate,Temperate,Mixed,Salty
55,Irregular,,Tropical,Mixed,Sour
59,Early Bird,Heavy,,Mediterranean,Sour
